Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category,resume_text_clean,skills_clean
R000000,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Market Research, Maven, Java, REST API, Spring Boot, Microservices, Statistics, SQL",Bachelor's in Computer Science,2,Market Research|Maven|Java|REST API|Spring Boot|Microservices|Statistics|SQL,Java Backend Developer,Technology,education bachelor s in computer science experience 2 years skills market research maven java rest api spring boot microservices statistics sql,"['market research', 'maven', 'java', 'rest api', 'spring boot', 'microservices', 'statistics', 'sql']"
R000001,"Education: Master's in Microbiology Experience: 3 years Skills: Agile, Data Analysis, Precision, Problem Solving, Scala, Research, Business Development, Microbiology",Master's in Microbiology,3,Agile|Data Analysis|Precision|Problem Solving|Scala|Research|Business Development|Microbiology|Laboratory Work,Microbiologist,Science & Research,education master s in microbiology experience 3 years skills agile data analysis precision problem solving scala research business development microbiology,"['agile', 'data analysis', 'precision', 'problem solving', 'scala', 'research', 'business development', 'microbiology', 'laboratory work']"
R000002,"Education: Apprenticeship Experience: 2 years Skills: React, Customer Service, Technical Knowledge, Plumbing Systems, Problem Solving, PostgreSQL, Code Knowledge, Creativity",Apprenticeship,2,React|Customer Service|Technical Knowledge|Plumbing Systems|Problem Solving|PostgreSQL|Code Knowledge|Creativity|Safety|iOS,Plumber,Skilled Trades,education apprenticeship experience 2 years skills react customer service technical knowledge plumbing systems problem solving postgresql code knowledge creativity,"['react', 'customer service', 'technical knowledge', 'plumbing systems', 'problem solving', 'postgresql', 'code knowledge', 'creativity', 'safety', 'ios']"
R000003,"Education: Bachelor's in Computer Science Experience: 0 years Skills: MySQL, Query Optimization, Symfony, Terraform, PHP, HTML/CSS, API Development, Financial Analysis",Bachelor's in Computer Science,0,MySQL|Query Optimization|Symfony|Terraform|PHP|HTML/CSS|API Development|Financial Analysis|Web Accessibility|Laravel|C++,PHP Developer,Technology,education bachelor s in computer science experience 0 years skills mysql query optimization symfony terraform php html css api development financial analysis,"['mysql', 'query optimization', 'symfony', 'terraform', 'php', 'html/css', 'api development', 'financial analysis', 'web accessibility', 'laravel', 'c++']"
R000004,"Education: Bachelor's in Design Experience: 3 years Skills: Problem Solving, Docker, Creativity, Scrum, Ansible, Communication, Team Leadership, Design Principles",Bachelor's in Design,3,Problem Solving|Docker|Creativity|Scrum|Ansible|Communication|Team Leadership|Design Principles|Artistic Direction|Visual Communication,Art Director,Creative & Design,education bachelor s in design experience 3 years skills problem solving docker creativity scrum ansible communication team leadership design principles,"['problem solving', 'docker', 'creativity', 'scrum', 'ansible', 'communication', 'team leadership', 'design principles', 'artistic direction', 'visual communication']"
R000005,"Education: Administrative Certification Experience: 2 years Skills: CI/CD, Problem Solving, Database Design, PyTorch, Deep Learning, Communication, Executive Support, Discretion",Administrative Certification,2,CI/CD|Problem Solving|Database Design|PyTorch|Deep Learning|Communication|Executive Support|Discretion|Organization|Leadership Support|Creativity,Executive Assistant,Administration,education administrative certification experience 2 years skills ci cd problem solving database design pytorch deep learning communication executive support discretion,"['ci/cd', 'problem solving', 'database design', 'pytorch', 'deep learning', 'communication', 'executive support', 'discretion', 'organization', 'leadership support', 'creativity']"
R000006,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Distributed Systems, CQL, Cassandra, Performance, NoSQL, Scalability, Business Development, Machine Learning",Bachelor's in Computer Science,3,Distributed Systems|CQL|Cassandra|Performance|NoSQL|Scalability|Business Development|Machine Learning,Cassandra Developer,Technology,education bachelor s in computer science experience 3 years skills distributed systems cql cassandra performance nosql scalability business development machine learning,"['distributed systems', 'cql', 'cassandra', 'performance', 'nosql', 'scalability', 'business development', 'machine learning']"
R000007,"Education: Bachelor's in IT Experience: 1 years Skills: Performance Tuning, SQL, ETL, Data Integration, JavaScript, Scikit-learn, Kanban, Web Accessibility",Bachelor's in IT,1,Performance Tuning|SQL|ETL|Data Integration|JavaScript|Scikit-learn|Kanban|Web Accessibility|GCP|Informatica|Data Quality,Informatica Developer,Data & Analytics,education bachelor s in it experience 1 years skills performance tuning sql etl data integration javascript scikit learn kanban web accessibility,"['performance tuning', 'sql', 'etl', 'data integration', 'javascript', 'scikit-learn', 'kanban', 'web accessibility', 'gcp', 'informatica', 'data quality']"
R000008,"Education: PT License Experience: 4 years Skills: Communication, Swift, Anatomy Knowledge, Exercise Prescription, Physical Therapy, Patient Assessment, Compassion, PHP",PT License,4,Communication|Swift|Anatomy Knowledge|Exercise Prescription|Physical Therapy|Patient Assessment|Compassion|PHP|Strategic Planning,Physical Therapist,Healthcare,education pt license experience 4 years skills communication swift anatomy knowledge exercise prescription physical therapy patient assessment compassion php,"['communication', 'swift', 'anatomy knowledge', 'exercise prescription', 'physical therapy', 'patient assessment', 'compassion', 'php', 'strategic planning']"
R000009,"Education: Bachelor's in Computer Science Experience: 5 years Skills: PostgreSQL, Distributed Systems, Kanban, Phoenix Framework, Functional Programming, Compliance, Elixir, Erlang",Bachelor's in Computer Science,5,PostgreSQL|Distributed Systems|Kanban|Phoenix Framework|Functional Programming|Compliance|Elixir|Erlang|Problem Solving,Elixir Developer,Technology,education bachelor s in computer science experience 5 years skills postgresql distributed systems kanban phoenix framework functional programming compliance elixir erlang,"['postgresql', 'distributed systems', 'kanban', 'phoenix framework', 'functional programming', 'compliance', 'elixir', 'erlang', 'problem solving']"
